,txt
2,"예, 잘합니다.나는 교사의 사과에서 당신에게 연락했습니다.나는 정원의 길이라고합니다.공무원에서 나는 강남 구의 용매에 매료되었고, 나는 키친 리재 영라는 40 명의 여성들을 광고하고 Seongnam의 자녀의 재정적 위반을 위반했다.나는 Gaepo Bank 앞에 있었고 우리를 증명 했으므로 내 이름이 내 이름과 ID 카드 사본으로 발견 되었기 때문에 우리에게 연락했습니다.이 사건의 피해자, 당신은 당신의 개인과 여성에게 연락했습니다.지갑이나 신분증을 잃어버린 적이 있습니까? 개인 정보를 잃어 버렸습니다.이것은 9,470 만 승리의 결과가 아닙니다.이것은 소량이 아닙니다.글쎄, 이제 나는 피해자 나 피해자가 아니기 때문에 피해자가 아니기 때문에, 당신이 사건의 피해자라고 생각한다면, 당신은 그것을 증명해야하지만, 당신은 할 수 있습니다. 그룹에서 자신을 제외하십시오. 소송.이 경우 헤드와 대화 나 텍스트에 대한 기록이 없었기 때문에 처음 이벤트에 연락했습니다.이전에 땅을 알아 차리고 싶다면 큰 젖소와 녹지에 세 명의 파티가있는 경우 합법적 인 조명과 데이터를 확인하지 못할 수 있습니다.나는 지금 회사에 있습니다.'회사의 M이고 전화로 괜찮습니다.나는 나와서 이야기합니다.나는 잠시 동안 시작할 것이다.사실, 당신은 이것을 모릅니다.나는 그렇게한다.단기를 지불하십시오.괜찮아.이름 만 사실입니다.솔직히 말하면 개인 정보 보호법에 따라 계정 번호 또는 비밀번호 주민 번호를 표시해서는 안됩니다.은행 상속인은 단순히 지출입니다.맞어 그거야.날과 나의 무한실.불가능하지 않습니까?포도델이 있습니다.휴식이 있으며 하나는 예금 및 철수로 사용될 수 있습니다.당신은 그것을 사용하고 있습니다.내가 사용할 게.우선, 추가가 추가 된 경우 약 10 만 원의 10,000 원과 천만 ​​원으로 1 천만을이기십시오.나는 빵이있다.이것이 관련된 경우 일반적인 계정에 액세스하고 수술을 진행하십시오.나는쪽에 등록하겠습니다."
4,"이봐, 무슨 일이 일어날 지 볼 건가요?어디에 있나요?나는 이제 -GU를 이길 것이다.당신이 나를 아는 사람이라는 것을 알고 있습니까?당신의 화해는 무엇입니까?Kang Sang -sul의 사이트에서 은행 계좌 및 ID 수표 카드를 찾았습니다.2020 년 6 월 9 일 NACF 및 Shinhan Bank Brokerage 지점에 출판되었습니다.그리고 Sinhan Bank Jung -Gay -Don 브런치.피해를 확인하기 위해 개방되었으며 피해자는 범죄에 사용되었습니다.이 발견은 가해자로 간주되지 않으므로 피해자는 아직 희생자가 아닙니다.나는 검찰과 판사에게 순종 할 것이다.당신은 지금하고있는 일을합니다."
6,"당신이 우리 은행에있는 우리 은행에 대한 간략한 설명이라면, 당신은 당신이 사용하는 고이자 부채를 기꺼이 할 의향이 있습니다.괜찮아.예, 정부를 검색하십시오. 신용 대출을지지합니다.10 명의 전문가가 사용합니다.예, 저는 금융 회사의 10 %를 사용합니다.현재 비즈니스 소유자 또는 직원입니까?귀하는 직원 또는 사업자입니다.비즈니스 소유자, 몇 년 동안 사업을 해왔습니다.나는 10 억이 있습니다.그렇습니다. 약 3 억 개의 필요가 필요할 것으로 예상됩니다.결석.나는 그것을하고있다.당신은 그것을하고 있습니다.내가 지금 사용하고있는이 휴대 전화 번호는 내가 말한 번호입니다.나는 당신을 안내하지 않습니다.그리고 오늘 나는 오늘이 대출을 먼저 부르고 있습니다.일단 전화하면 65 년 안에 태어날 것입니다.내 앞에있는 휴대폰 번호의 수를 알려 드리겠습니다.코로나, 그래서 나는 모두 내가 소녀에게서 도망 쳤기 때문에 많은 스트레스를 느낍니다.예, 저는 보험 회사에 가서 보험 회사를 얻었습니다."
7,"당신은 어디에서 이상한 말을 했습니까?지불 수수료 나 휴대 전화 요금을 지불 할 때 이것이 정상에서 벗어난 것으로 확인되었습니다.전화로 갈 때 구입 한 적이 없습니다.。예, 예, 예, Gannam 경찰서의 사이버 설문 조사 팀인 Kim Jinkyung.또한 472,000 원으로 로봇 청소를 구입했습니다.나는 고용되고 싶다.그러나 사용하는 스마트 폰은 조용합니다.예, 모델을 알고 있습니까?언제 저에게 연락 했습니까?당신이 할 수 없다면, 당신은 그것을 누를 수 없습니다.당신의 개방성을 확인한 적이 있습니까?글쎄, 나는 모른다.나는 그런 것들을 많이 본다.나는 그것을 바로 먹을 수없고 그것을 먹을 수 없다.알아야하지만 그러한 텍스트를 열면 휴대 전화에서 취소됩니다.당신은 당신이 가진 것이 있습니다.그와 같은 일은 없다.ID 카드와 라이센스 가이 결제 문이 유출되고 있음을 훔치고 있습니다.이를 위해, 우리는 UBI 급여에서 피해자의 단위 신청서를 보내고 피해자의 단위 신청서를 UBI Pay로 보냅니다.Kookminbank 계정이 확인되었음을 확인했습니다.왜 당신은 항상 돈 앱에서 나온 것입니다.그래서.당신이 물어보고 싶은지 묻습니다.우선, 보호법을 보호 할 때 개인 정보를 말하지 마십시오.당신이 말하면, 나는 남자입니다.계정의 자산이므로 상식을 만들 수 있습니다.직접 전화 할 수없고 전화 번호로 전화 할 수 없습니다.전화를 걸고 전화하겠습니다.예, 내가 그렇게한다는 걸 알아요.네 감사합니다.어떻게 하시나요?그녀는 지금 사기꾼입니다. 그녀를 잡을 수있는 방법이 있습니까?"
8,"안녕하세요, 저는 KB Kookmin Bank입니다.일반 신용 은행 계좌를 사용한다고 생각합니다.나는 내가 받아들이고 싶은 부정적인 은행 책이다.조건, 동시에 두 마리의 말을 사용할 수 있습니다.글쎄, 어떻게해야하나요?먼저, 오늘은 비즈니스 휴대 전화로 연락 드리겠습니다.점수에 따라 1 천만 원의 한도를 사용할 수 있습니다.2.3 Pro에서 최대 8.5 % ~ 5000 이자율.69 세에서 21 세에서 69 세까지 60 세 미만입니다.나는 은퇴했지만 나는 할 수 없다.뭐 했어?뭐 했어?4 월에 나는 은퇴에서 은퇴했다.3 년 후, 장기 연체 또는 개인 달과 같은 것은 없습니다.올해 몇 달이 지났습니다.몇 년이 지났습니다.1 년이 지났습니다.일정 기간 동안 음성 통장을 발행하면 한 번 발급됩니다.먼저 온라인 온라인 국수를 신청해야합니다.KB Kookmin Bank 스마트 폰 회사를 통해.오,이 부분은 휴대 전화 나 카카 오토크의 교과서에 의해 안내됩니다.Kookminbank 지점으로 전송됩니다.선별 결과가있는 경우 고객은 고객을 좋아하지 않을 수 있습니다.문제를 취소하면 문제를 취소 할 수 있습니다.안내해야합니다.우리는 가이드를 전달할 것입니다.고객의 전자 서명 코드를 발행하고 Kakaotalk로 이어질 수 있습니다.Kakaotalk를 사용하십니까?우리가 우리를 이끌 때, 우리는 이제 KB Star Banking 응용 프로그램과 설치 후 신청서를 작성하고 있습니다.Kookmin 은행 계좌를 사용하거나 수표 이체 작업을하는 고객을위한 응용 프로그램입니다."
10,"예, 당신은 당신을 볼 수 있습니다.그렇습니다. 당신은 서울 중앙 검찰 리현 주의 좋은 일입니다.이것은 이것을 아는 사람입니다.이제 우리는 Kim의 사기 사기입니다.은행 계좌 정보.예, 은행 계좌를 찾았습니다.그렇습니다. Nonghyup Bank와 Shinhan Bank Bank Bank가 발견되었습니다.Sinhan은 Urbae의 달에 발행되었음을 확인했습니다.피해자가 익숙해 졌을 때입니다.나는 당신에게 연락했습니다.적의 의심의 여지가 없기 때문에 아이의 머리가 피해자로 입증 될 수 있기 때문에 적절한 혈액에 따라 그것을 증명하는 것은 여전히 ​​불가능합니다.소환 형식으로 녹음하여 진행할 수 있습니다.실제 녹음에 동의하십니까?정보법에 따라 연구 기관에는 사회 보장 번호 또는 계정 번호 비밀번호가 필요하지 않습니다.당신은 큰 소리로 말할 수 있습니다.예, 큰 소리로 말할 것입니다.이 녹에 사로 잡힌 이름과 나이.그것은 당신의 머리 속에 있습니다.똥이야.당신은 흰색으로 무엇을 말하고 있습니까, 지금 관절을 제거합니까?뭐하세요?세계"
12,"소울 존이 지금 이겼습니다. 저는 Jo -Young 철수입니다.나는 당신이 그것을 들었는지 알고 있다고 들었습니다.나는 많은 확인이있다.내 이름 으로이 테스트를 받았습니다.은행 계좌는 판매 또는 양도되었거나 개인 정보의 이름을 따서 명명 된 피해자가 유출되어 새로운 지 알기 위해 유출되었습니다.4 주 국가 사이트에서 Kim Il -Dan은 저렴한 가격으로 제품을 저렴한 가격으로 판매하는 은행 계좌입니다.그렇습니다.이 희생자들은 커프를 얻지 못하면 그렇게합니다.나중에 배당 명령을 신청하십시오.경찰로 돌아갈 필요가 없었으며 설문 조사를 받기 위해 경찰에 갈 필요가 없었습니다.나는 그날을 설명했다.예, 전화 로이 동의를 설명하겠습니다.원자재를 보내 드리겠습니다. 그래서 내가 어디에 있는지 알고 Wish Director에게 보냅니다.나는 그것을 우리에게 보냅니다.어떻게해야합니까?예, 주소를 동결 할 필요가 없습니다."
14,"예.예.네, 맞아요.예,하지만 왜 나를 그렇게 느리게 만들까요? 지금 어디서하고 있습니까?어디서 말했어?검찰의 사무실입니다.그것은 중요하지 않습니다. 중요하지 않으며, 나는 그것을 저에게 보내겠습니다."
15,"Hello Pepper Saving Bank 이것은 Pepper Savings Bank입니다.당신은 이제 높은 이자율을 가지고 있습니다.예, 당신은 당신이 지금하고있는 일을하고있는 사업가 인 직원입니다.단기 연체 기록은 없습니다.m을받습니다.Phil Dae -Hwan이 승무원에게 추가 되었기 때문에 조금 필요합니다.예, 좋은 고객을 확인하십시오.최근에 귀하의 문의에 대해 알아 보려고 노력하고 있습니다.정확한 부채 기록을 읽으십시오.교체 목적보다 더 많은 자금이 있습니다.고객 서비스 대행사는 어디에 있습니까?예 Uplus는 LG의 저렴한 전화 통화가 아닙니다.팀 리더.저는 팀 리더입니다.당신은 팀의 수장입니다.CEO와 Karma를 구별 할 때, 나는 담당자의 이름을 구별합니다.나는 당신이 그것을 알고 있지만 당신의 전화 번호의 이름을 알고 있습니다.예를 들어, 여기에 한 곳이 있는지 여부는 중요하지 않지만 여러 곳이 있습니다.집이 있다면 집은 이제 헌장입니다.우선 순위가 있다면 기본적으로 약간의 질문을하십시오.나는 그것을 시도하지 않았다.나는 당신에게 말했다.나는 지난번에하지 않았다.1985 년 2 월 1 일, 2 월 1 일입니다.7 자리는 어떻게 있습니까?예, 우리는 당신을 보내고 있습니다.정확한 생일입니다.후추 저축 은행입니다.국수에 7 석이 있습니까?1985 년 2 월 1 일입니까?"
16,"안녕하세요, 그렇습니다. 그게 Hana의 금리입니다.Kim Jongman이 옳습니다.추가 돈이 필요합니다.지금은 많은 돈이 필요합니다.추가 자금이 필요합니다.나는 그것이 직업이 될 것이라고 생각합니다.사무실 직원.4,000 이었지만 지금은 있습니다.네 지금 요.예, 저는 18 살입니다.자본 저축 은행에 사용됩니다.캐시 서비스를 사용하십시오.카드가 없습니다.그런 다음 수표가 있습니다.예, 안녕하세요, Lee John -Customer.예, 나는 Hana 재무 책임자에게 배정되어 연락을 받았습니다.5 월 6 일 휴대 전화 캐리어는 무엇입니까?그것을 사용하는 것이 아닙니다.나는 그것을 사용하지 않습니다.나는 그것을 사용하지 않거나 재활 파산이나 연체가 있습니다.그 사람은 무엇입니까?직장의 이름은 무엇입니까?그는 주택 형식의 ​​형식은 아파트이며 소유권은 자체적으로 평가되었다고 말했다.자산이있는 경우 더 많은 금리와 제한을 계산할 수 있습니다.당신은 조금 정확할 수 있습니다.예, 괜찮습니다.나는 당신이 지금 4000이 필요하다고 말했습니다.그런 다음 약 4 천만이 필요합니다.네 네 네 네.이자율은 10.6 %입니다.팩스를 보내주세요.문자 나 전화를 보내주세요."
