,txt
0,"저는 서울 중앙 검사 사무실입니다.검찰 사무실.Lee Chang Bay를 아십니까?어디를 돌아 보 셨나요?내 지식 중 하나가 있다고 생각합니다.당신은 나에게 무엇을하고 있습니까?이제 몇 살이신가요?'제발 줘.그때 나는 39 세의 사람이었다.나는 39 세의 사람이었다.ID 카드를 압수했습니다.Sinhan Bank도 발견되었습니다.나는 지폐를 요구하지는 않지만 우리는 우리가 압수 한 캐논 은행 계좌에 대해 이야기합니다.당신은 공개 계정이 아닙니다.나는 Sinhan Bank에 가본 적이 없습니다.사람의 이름을 훔치고 은행 계좌를 불법적으로 개설 한 은행 계좌는 포병 은행 계좌입니다.피해자가 다시 한 번 은행 계좌로 인해 발생하는 경우입니다.그는 또한이 장을 팔았던 사람이 있다고 말했지만, 그가 은행 책을 팔았거나 자신이 도난당한 지 여부를 나에게 연락했다.희생자, 피해자를 테스트해야합니다.나는 단지 공식 문서로 가서 우리에게 와서 설문 조사를받습니다.그런 다음 조사 될 것입니다.조사해야합니다.후원 녹음을 진행할 수 있으므로 원하는지 물어보십시오.그래서 지금 조사합니까?"
1,"이봐, 난 킴 다에게 맞았 어예, 당신은 잘하고 있습니다.나는 그것을했다.예, 김명의 남동쪽을 알고 있습니까?전혀 아무것도 없으며 그것은 당신의 것이 아닙니다.ID 카드의 경우 대량이 많았습니다.이것은 사이트에 중점을 둔 ID 카드에 중점을 두었습니다.김 12 개월에 그는 은행 책이 4 개의 이름으로 열렸다는 것을 확인했다.확인되었습니다.그렇습니다. 우리는 우리 측면에서 많은 사람들을 끌어 들이기 때문에 한 사람을 한 번 소환 할 수는 없지만 농업 조사의 형태입니다.당신은 당신입니다.옳지 만, 당신은 당신의 이름에 대한 대안으로 판단됩니다.예, 그렇게 보입니다.첫째, Kimmi는 사건의 경우 은행 계좌가 발견 되었기 때문에 피해자라고 말했다.또한 피해자의 단순한 피해자를 받아야합니다.세 번째 음성을 기록하거나 기록 할 때 법적 증거를 얻는 것은 어렵습니다.사진을 그대로 알려주세요.하지만 사건을 말 해주세요."
2,"예, 잘합니다.나는 교사의 사과에서 당신에게 연락했습니다.나는 정원의 길이라고합니다.공무원에서 나는 강남 구의 용매에 매료되었고, 나는 키친 리재 영라는 40 명의 여성들을 광고하고 Seongnam의 자녀의 재정적 위반을 위반했다.나는 Gaepo Bank 앞에 있었고 우리를 증명 했으므로 내 이름이 내 이름과 ID 카드 사본으로 발견 되었기 때문에 우리에게 연락했습니다.이 사건의 피해자, 당신은 당신의 개인과 여성에게 연락했습니다.지갑이나 신분증을 잃어버린 적이 있습니까? 개인 정보를 잃어 버렸습니다.이것은 9,470 만 승리의 결과가 아닙니다.이것은 소량이 아닙니다.글쎄, 이제 나는 피해자 나 피해자가 아니기 때문에 피해자가 아니기 때문에, 당신이 사건의 피해자라고 생각한다면, 당신은 그것을 증명해야하지만, 당신은 할 수 있습니다. 그룹에서 자신을 제외하십시오. 소송.이 경우 헤드와 대화 나 텍스트에 대한 기록이 없었기 때문에 처음 이벤트에 연락했습니다.이전에 땅을 알아 차리고 싶다면 큰 젖소와 녹지에 세 명의 파티가있는 경우 합법적 인 조명과 데이터를 확인하지 못할 수 있습니다.나는 지금 회사에 있습니다.'회사의 M이고 전화로 괜찮습니다.나는 나와서 이야기합니다.나는 잠시 동안 시작할 것이다.사실, 당신은 이것을 모릅니다.나는 그렇게한다.단기를 지불하십시오.괜찮아.이름 만 사실입니다.솔직히 말하면 개인 정보 보호법에 따라 계정 번호 또는 비밀번호 주민 번호를 표시해서는 안됩니다.은행 상속인은 단순히 지출입니다.맞어 그거야.날과 나의 무한실.불가능하지 않습니까?포도델이 있습니다.휴식이 있으며 하나는 예금 및 철수로 사용될 수 있습니다.당신은 그것을 사용하고 있습니다.내가 사용할 게.우선, 추가가 추가 된 경우 약 10 만 원의 10,000 원과 천만 ​​원으로 1 천만을이기십시오.나는 빵이있다.이것이 관련된 경우 일반적인 계정에 액세스하고 수술을 진행하십시오.나는쪽에 등록하겠습니다."
3,"MG Saemaur Undong.고객에게는 차이가 없습니다.신용에 특별한 문제가 없다면 최대 1 억 명을 얻을 수 있으므로 가이드가 있습니다.나는 jiu -jitsu daai에 간다.'M은 몇 년 동안 당신에게 요청해 왔습니다.통제 80이 많습니다.나는 생생한 생일입니다.통신 회사는 어디에서하고 있습니까?SK Yo SK의 독특한 이름이 맞습니다.이것이 당신의 이름입니까?당신은 지금 당신에게 많은 돈을 주어야합니다. 신용 등급이 더 많으면 많은 돈을 얻을 수 있습니다.정보에 참여하려고하지는 않지만 고객은 잘못되지 않습니다.예, 그것은입니다.오실 래요?인증 번호에 오지 않겠습니까?한 번 만나요.서울에는 대도시가 있습니다.1 월 2 일 1 월 2 일과 1 월 11 일에 언급 한 내용을 1 월 2 일에 언급 한 이유."
4,"이봐, 무슨 일이 일어날 지 볼 건가요?어디에 있나요?나는 이제 -GU를 이길 것이다.당신이 나를 아는 사람이라는 것을 알고 있습니까?당신의 화해는 무엇입니까?Kang Sang -sul의 사이트에서 은행 계좌 및 ID 수표 카드를 찾았습니다.2020 년 6 월 9 일 NACF 및 Shinhan Bank Brokerage 지점에 출판되었습니다.그리고 Sinhan Bank Jung -Gay -Don 브런치.피해를 확인하기 위해 개방되었으며 피해자는 범죄에 사용되었습니다.이 발견은 가해자로 간주되지 않으므로 피해자는 아직 희생자가 아닙니다.나는 검찰과 판사에게 순종 할 것이다.당신은 지금하고있는 일을합니다."
5,"아니요, 노트북 Katok 사기 사건에 대한 몇 가지 수표에 문의했습니다.예.불만을 접수했지만 이름이 지명되고 피해자가 있으면 불만 사항이 자동으로 취소됩니다.피해자가 많지만 확인해야 할 다른 부분이 있으며 한동안 보호되었습니다.그것은 복지 ID 카드와 Nongyup Bank Cannon 계정에 의해 제품의 이름으로 압수되었습니다.왜 대답하지 않았습니까?뭐라고 하셨나요?미안하지만 질문을 할 수 없습니다.은행 계좌는 2020 년 9 월 17 일에 2020 년 9 월 17 일에 Yeongdeungpo -Gu -Logs 건물에 새로 개설되었습니다.Nongyup의 Nongyup Bankbook.당신은 그것을 열어 본 적이 있습니까?작년 2 년 동안 Idiphuan.그것은 열린 것 같습니다.저게 뭐에요.나는 은행 계좌를 대체물로 만들었다는 진술을했다.또한 은행 계좌를 돈으로 구매하고 은행 계좌를 구입했습니다.나는 은행 책을 샀다.그것은 동일했지만 Kangmia는 John Bam-Mi에게 많은 돈을주고 은행 계좌를 구입했습니다.이제 나는 당신에게 돈을주고 은행 계좌를 샀습니다.너.왜 구매할 건가요?나는 당신을 살 것입니다.소환장을 보내 드리겠습니다.드래그하지 마십시오"
6,"당신이 우리 은행에있는 우리 은행에 대한 간략한 설명이라면, 당신은 당신이 사용하는 고이자 부채를 기꺼이 할 의향이 있습니다.괜찮아.예, 정부를 검색하십시오. 신용 대출을지지합니다.10 명의 전문가가 사용합니다.예, 저는 금융 회사의 10 %를 사용합니다.현재 비즈니스 소유자 또는 직원입니까?귀하는 직원 또는 사업자입니다.비즈니스 소유자, 몇 년 동안 사업을 해왔습니다.나는 10 억이 있습니다.그렇습니다. 약 3 억 개의 필요가 필요할 것으로 예상됩니다.결석.나는 그것을하고있다.당신은 그것을하고 있습니다.내가 지금 사용하고있는이 휴대 전화 번호는 내가 말한 번호입니다.나는 당신을 안내하지 않습니다.그리고 오늘 나는 오늘이 대출을 먼저 부르고 있습니다.일단 전화하면 65 년 안에 태어날 것입니다.내 앞에있는 휴대폰 번호의 수를 알려 드리겠습니다.코로나, 그래서 나는 모두 내가 소녀에게서 도망 쳤기 때문에 많은 스트레스를 느낍니다.예, 저는 보험 회사에 가서 보험 회사를 얻었습니다."
7,"당신은 어디에서 이상한 말을 했습니까?지불 수수료 나 휴대 전화 요금을 지불 할 때 이것이 정상에서 벗어난 것으로 확인되었습니다.전화로 갈 때 구입 한 적이 없습니다.。예, 예, 예, Gannam 경찰서의 사이버 설문 조사 팀인 Kim Jinkyung.또한 472,000 원으로 로봇 청소를 구입했습니다.나는 고용되고 싶다.그러나 사용하는 스마트 폰은 조용합니다.예, 모델을 알고 있습니까?언제 저에게 연락 했습니까?당신이 할 수 없다면, 당신은 그것을 누를 수 없습니다.당신의 개방성을 확인한 적이 있습니까?글쎄, 나는 모른다.나는 그런 것들을 많이 본다.나는 그것을 바로 먹을 수없고 그것을 먹을 수 없다.알아야하지만 그러한 텍스트를 열면 휴대 전화에서 취소됩니다.당신은 당신이 가진 것이 있습니다.그와 같은 일은 없다.ID 카드와 라이센스 가이 결제 문이 유출되고 있음을 훔치고 있습니다.이를 위해, 우리는 UBI 급여에서 피해자의 단위 신청서를 보내고 피해자의 단위 신청서를 UBI Pay로 보냅니다.Kookminbank 계정이 확인되었음을 확인했습니다.왜 당신은 항상 돈 앱에서 나온 것입니다.그래서.당신이 물어보고 싶은지 묻습니다.우선, 보호법을 보호 할 때 개인 정보를 말하지 마십시오.당신이 말하면, 나는 남자입니다.계정의 자산이므로 상식을 만들 수 있습니다.직접 전화 할 수없고 전화 번호로 전화 할 수 없습니다.전화를 걸고 전화하겠습니다.예, 내가 그렇게한다는 걸 알아요.네 감사합니다.어떻게 하시나요?그녀는 지금 사기꾼입니다. 그녀를 잡을 수있는 방법이 있습니까?"
9,"안녕하세요, 당신은 여기서 좋은 일입니다.이것은 소울 센트럴 브런치입니다.비슷합니다.전화를 걸 수 있다면 사건의 내용을 전달하고 주문을 제공합니다.나는 당신을 몰랐고 내 이름을 바꿨습니다.그리고 지난 2 년 동안 정보 및 ID 카드 휴대폰에 대한 지갑이 발표되었습니다.그러나 당신의 빵 덕분에 나는 모든 것을 안에 넣었습니다.최근에는 유행입니다.나는 그렇게하지 않습니다.나는 그것을 세 셋에 매달고있다.다이어리.이 과정 에서이 과정은 많은 증거의 증거를 압수했습니다.2018. 나는 나에게 주어졌고, 나는 Yeongdeungpo에 은행 책을 열지 않았다고 말했다.Kim Te Hiwan이라는 파티 인 Kim Te Hiwan은 두 개의 은행 계좌를 개설하고 2 개의 은행 계좌를 대포 계좌로 사용했습니다.이 은행 책을 듣습니다.받아쓰기.십대 또는 두 번째 번개 시장입니다.나는 여기에 은행 계좌에 돈을 남긴 사람들에게 속했다.예, 아닙니다.예금이나 예금은 막 끝났지 만 돈은 돈에서 벗어 났거나 그런 것이 없었습니다.나는 그것을 전혀 찾을 수 없었다.당신이 지위라도 금융 부문이 발생하기 때문에 그렇지 않습니다.그는 2018 년 12 월 20 일이라고 말했다.나는 내가 몰랐던 계정을 몰랐다.조금 이상하지만 조금 이상하지만, 비 제프에서는 사용하지 않았기 때문에 왜 그것을 사용했는지, 그 당시에는 다른 금융 농업 협동 조합을 떠났지만 계정을 취소했습니다.나는 갈 것이지만 나는 그것을 사지 않았지만 나는 불행합니다.나는 지금 내 친구를 만나러 가야한다.입력하십시오.그래서 저는 100 억입니다.증거 절차는 필연적으로 금융법에 따라 처벌을 처벌하기 때문에 불가피합니다.네, 맞습니다.예,이 전화 번호가 정확합니다.이것은 이름입니다.아버지는하지만 오프닝은 내 이름입니다.그게 다야.그것이 바로 아버지가하는 일이며 아버지는 너무 많은 데이터를 사용합니다.그러나 아버지만이 저를 지불하고 내 이름입니다.이 녹음 설문 조사를 말해야합니까?우리에게 그것을 돌려주고 싶습니까?"
10,"예, 당신은 당신을 볼 수 있습니다.그렇습니다. 당신은 서울 중앙 검찰 리현 주의 좋은 일입니다.이것은 이것을 아는 사람입니다.이제 우리는 Kim의 사기 사기입니다.은행 계좌 정보.예, 은행 계좌를 찾았습니다.그렇습니다. Nonghyup Bank와 Shinhan Bank Bank Bank가 발견되었습니다.Sinhan은 Urbae의 달에 발행되었음을 확인했습니다.피해자가 익숙해 졌을 때입니다.나는 당신에게 연락했습니다.적의 의심의 여지가 없기 때문에 아이의 머리가 피해자로 입증 될 수 있기 때문에 적절한 혈액에 따라 그것을 증명하는 것은 여전히 ​​불가능합니다.소환 형식으로 녹음하여 진행할 수 있습니다.실제 녹음에 동의하십니까?정보법에 따라 연구 기관에는 사회 보장 번호 또는 계정 번호 비밀번호가 필요하지 않습니다.당신은 큰 소리로 말할 수 있습니다.예, 큰 소리로 말할 것입니다.이 녹에 사로 잡힌 이름과 나이.그것은 당신의 머리 속에 있습니다.똥이야.당신은 흰색으로 무엇을 말하고 있습니까, 지금 관절을 제거합니까?뭐하세요?세계"
