,txt
0,"저는 서울 중앙 검사 사무실입니다.검찰 사무실.Lee Chang Bay를 아십니까?어디를 돌아 보 셨나요?내 지식 중 하나가 있다고 생각합니다.당신은 나에게 무엇을하고 있습니까?이제 몇 살이신가요?'제발 줘.그때 나는 39 세의 사람이었다.나는 39 세의 사람이었다.ID 카드를 압수했습니다.Sinhan Bank도 발견되었습니다.나는 지폐를 요구하지는 않지만 우리는 우리가 압수 한 캐논 은행 계좌에 대해 이야기합니다.당신은 공개 계정이 아닙니다.나는 Sinhan Bank에 가본 적이 없습니다.사람의 이름을 훔치고 은행 계좌를 불법적으로 개설 한 은행 계좌는 포병 은행 계좌입니다.피해자가 다시 한 번 은행 계좌로 인해 발생하는 경우입니다.그는 또한이 장을 팔았던 사람이 있다고 말했지만, 그가 은행 책을 팔았거나 자신이 도난당한 지 여부를 나에게 연락했다.희생자, 피해자를 테스트해야합니다.나는 단지 공식 문서로 가서 우리에게 와서 설문 조사를받습니다.그런 다음 조사 될 것입니다.조사해야합니다.후원 녹음을 진행할 수 있으므로 원하는지 물어보십시오.그래서 지금 조사합니까?"
1,"이봐, 난 킴 다에게 맞았 어예, 당신은 잘하고 있습니다.나는 그것을했다.예, 김명의 남동쪽을 알고 있습니까?전혀 아무것도 없으며 그것은 당신의 것이 아닙니다.ID 카드의 경우 대량이 많았습니다.이것은 사이트에 중점을 둔 ID 카드에 중점을 두었습니다.김 12 개월에 그는 은행 책이 4 개의 이름으로 열렸다는 것을 확인했다.확인되었습니다.그렇습니다. 우리는 우리 측면에서 많은 사람들을 끌어 들이기 때문에 한 사람을 한 번 소환 할 수는 없지만 농업 조사의 형태입니다.당신은 당신입니다.옳지 만, 당신은 당신의 이름에 대한 대안으로 판단됩니다.예, 그렇게 보입니다.첫째, Kimmi는 사건의 경우 은행 계좌가 발견 되었기 때문에 피해자라고 말했다.또한 피해자의 단순한 피해자를 받아야합니다.세 번째 음성을 기록하거나 기록 할 때 법적 증거를 얻는 것은 어렵습니다.사진을 그대로 알려주세요.하지만 사건을 말 해주세요."
2,"예, 잘합니다.나는 교사의 사과에서 당신에게 연락했습니다.나는 정원의 길이라고합니다.공무원에서 나는 강남 구의 용매에 매료되었고, 나는 키친 리재 영라는 40 명의 여성들을 광고하고 Seongnam의 자녀의 재정적 위반을 위반했다.나는 Gaepo Bank 앞에 있었고 우리를 증명 했으므로 내 이름이 내 이름과 ID 카드 사본으로 발견 되었기 때문에 우리에게 연락했습니다.이 사건의 피해자, 당신은 당신의 개인과 여성에게 연락했습니다.지갑이나 신분증을 잃어버린 적이 있습니까? 개인 정보를 잃어 버렸습니다.이것은 9,470 만 승리의 결과가 아닙니다.이것은 소량이 아닙니다.글쎄, 이제 나는 피해자 나 피해자가 아니기 때문에 피해자가 아니기 때문에, 당신이 사건의 피해자라고 생각한다면, 당신은 그것을 증명해야하지만, 당신은 할 수 있습니다. 그룹에서 자신을 제외하십시오. 소송.이 경우 헤드와 대화 나 텍스트에 대한 기록이 없었기 때문에 처음 이벤트에 연락했습니다.이전에 땅을 알아 차리고 싶다면 큰 젖소와 녹지에 세 명의 파티가있는 경우 합법적 인 조명과 데이터를 확인하지 못할 수 있습니다.나는 지금 회사에 있습니다.'회사의 M이고 전화로 괜찮습니다.나는 나와서 이야기합니다.나는 잠시 동안 시작할 것이다.사실, 당신은 이것을 모릅니다.나는 그렇게한다.단기를 지불하십시오.괜찮아.이름 만 사실입니다.솔직히 말하면 개인 정보 보호법에 따라 계정 번호 또는 비밀번호 주민 번호를 표시해서는 안됩니다.은행 상속인은 단순히 지출입니다.맞어 그거야.날과 나의 무한실.불가능하지 않습니까?포도델이 있습니다.휴식이 있으며 하나는 예금 및 철수로 사용될 수 있습니다.당신은 그것을 사용하고 있습니다.내가 사용할 게.우선, 추가가 추가 된 경우 약 10 만 원의 10,000 원과 천만 ​​원으로 1 천만을이기십시오.나는 빵이있다.이것이 관련된 경우 일반적인 계정에 액세스하고 수술을 진행하십시오.나는쪽에 등록하겠습니다."
3,"MG Saemaur Undong.고객에게는 차이가 없습니다.신용에 특별한 문제가 없다면 최대 1 억 명을 얻을 수 있으므로 가이드가 있습니다.나는 jiu -jitsu daai에 간다.'M은 몇 년 동안 당신에게 요청해 왔습니다.통제 80이 많습니다.나는 생생한 생일입니다.통신 회사는 어디에서하고 있습니까?SK Yo SK의 독특한 이름이 맞습니다.이것이 당신의 이름입니까?당신은 지금 당신에게 많은 돈을 주어야합니다. 신용 등급이 더 많으면 많은 돈을 얻을 수 있습니다.정보에 참여하려고하지는 않지만 고객은 잘못되지 않습니다.예, 그것은입니다.오실 래요?인증 번호에 오지 않겠습니까?한 번 만나요.서울에는 대도시가 있습니다.1 월 2 일 1 월 2 일과 1 월 11 일에 언급 한 내용을 1 월 2 일에 언급 한 이유."
5,"아니요, 노트북 Katok 사기 사건에 대한 몇 가지 수표에 문의했습니다.예.불만을 접수했지만 이름이 지명되고 피해자가 있으면 불만 사항이 자동으로 취소됩니다.피해자가 많지만 확인해야 할 다른 부분이 있으며 한동안 보호되었습니다.그것은 복지 ID 카드와 Nongyup Bank Cannon 계정에 의해 제품의 이름으로 압수되었습니다.왜 대답하지 않았습니까?뭐라고 하셨나요?미안하지만 질문을 할 수 없습니다.은행 계좌는 2020 년 9 월 17 일에 2020 년 9 월 17 일에 Yeongdeungpo -Gu -Logs 건물에 새로 개설되었습니다.Nongyup의 Nongyup Bankbook.당신은 그것을 열어 본 적이 있습니까?작년 2 년 동안 Idiphuan.그것은 열린 것 같습니다.저게 뭐에요.나는 은행 계좌를 대체물로 만들었다는 진술을했다.또한 은행 계좌를 돈으로 구매하고 은행 계좌를 구입했습니다.나는 은행 책을 샀다.그것은 동일했지만 Kangmia는 John Bam-Mi에게 많은 돈을주고 은행 계좌를 구입했습니다.이제 나는 당신에게 돈을주고 은행 계좌를 샀습니다.너.왜 구매할 건가요?나는 당신을 살 것입니다.소환장을 보내 드리겠습니다.드래그하지 마십시오"
8,"안녕하세요, 저는 KB Kookmin Bank입니다.일반 신용 은행 계좌를 사용한다고 생각합니다.나는 내가 받아들이고 싶은 부정적인 은행 책이다.조건, 동시에 두 마리의 말을 사용할 수 있습니다.글쎄, 어떻게해야하나요?먼저, 오늘은 비즈니스 휴대 전화로 연락 드리겠습니다.점수에 따라 1 천만 원의 한도를 사용할 수 있습니다.2.3 Pro에서 최대 8.5 % ~ 5000 이자율.69 세에서 21 세에서 69 세까지 60 세 미만입니다.나는 은퇴했지만 나는 할 수 없다.뭐 했어?뭐 했어?4 월에 나는 은퇴에서 은퇴했다.3 년 후, 장기 연체 또는 개인 달과 같은 것은 없습니다.올해 몇 달이 지났습니다.몇 년이 지났습니다.1 년이 지났습니다.일정 기간 동안 음성 통장을 발행하면 한 번 발급됩니다.먼저 온라인 온라인 국수를 신청해야합니다.KB Kookmin Bank 스마트 폰 회사를 통해.오,이 부분은 휴대 전화 나 카카 오토크의 교과서에 의해 안내됩니다.Kookminbank 지점으로 전송됩니다.선별 결과가있는 경우 고객은 고객을 좋아하지 않을 수 있습니다.문제를 취소하면 문제를 취소 할 수 있습니다.안내해야합니다.우리는 가이드를 전달할 것입니다.고객의 전자 서명 코드를 발행하고 Kakaotalk로 이어질 수 있습니다.Kakaotalk를 사용하십니까?우리가 우리를 이끌 때, 우리는 이제 KB Star Banking 응용 프로그램과 설치 후 신청서를 작성하고 있습니다.Kookmin 은행 계좌를 사용하거나 수표 이체 작업을하는 고객을위한 응용 프로그램입니다."
9,"안녕하세요, 당신은 여기서 좋은 일입니다.이것은 소울 센트럴 브런치입니다.비슷합니다.전화를 걸 수 있다면 사건의 내용을 전달하고 주문을 제공합니다.나는 당신을 몰랐고 내 이름을 바꿨습니다.그리고 지난 2 년 동안 정보 및 ID 카드 휴대폰에 대한 지갑이 발표되었습니다.그러나 당신의 빵 덕분에 나는 모든 것을 안에 넣었습니다.최근에는 유행입니다.나는 그렇게하지 않습니다.나는 그것을 세 셋에 매달고있다.다이어리.이 과정 에서이 과정은 많은 증거의 증거를 압수했습니다.2018. 나는 나에게 주어졌고, 나는 Yeongdeungpo에 은행 책을 열지 않았다고 말했다.Kim Te Hiwan이라는 파티 인 Kim Te Hiwan은 두 개의 은행 계좌를 개설하고 2 개의 은행 계좌를 대포 계좌로 사용했습니다.이 은행 책을 듣습니다.받아쓰기.십대 또는 두 번째 번개 시장입니다.나는 여기에 은행 계좌에 돈을 남긴 사람들에게 속했다.예, 아닙니다.예금이나 예금은 막 끝났지 만 돈은 돈에서 벗어 났거나 그런 것이 없었습니다.나는 그것을 전혀 찾을 수 없었다.당신이 지위라도 금융 부문이 발생하기 때문에 그렇지 않습니다.그는 2018 년 12 월 20 일이라고 말했다.나는 내가 몰랐던 계정을 몰랐다.조금 이상하지만 조금 이상하지만, 비 제프에서는 사용하지 않았기 때문에 왜 그것을 사용했는지, 그 당시에는 다른 금융 농업 협동 조합을 떠났지만 계정을 취소했습니다.나는 갈 것이지만 나는 그것을 사지 않았지만 나는 불행합니다.나는 지금 내 친구를 만나러 가야한다.입력하십시오.그래서 저는 100 억입니다.증거 절차는 필연적으로 금융법에 따라 처벌을 처벌하기 때문에 불가피합니다.네, 맞습니다.예,이 전화 번호가 정확합니다.이것은 이름입니다.아버지는하지만 오프닝은 내 이름입니다.그게 다야.그것이 바로 아버지가하는 일이며 아버지는 너무 많은 데이터를 사용합니다.그러나 아버지만이 저를 지불하고 내 이름입니다.이 녹음 설문 조사를 말해야합니까?우리에게 그것을 돌려주고 싶습니까?"
11,"당신은 여기 있습니까?문제는 무엇입니까?나는 지금 Nongyup Bank의 미래에 있습니다. 무슨 일이 일어나고 있습니까?나는 그것을 만들지 않았지만 나는 그것을 말할 수 없었다.당신은 무엇을 하시겠습니까?그것은 또한 최고의 검찰청이라고도합니다.즉시 수정하지 마십시오.나는 그것을 다시 먹을 것입니다.다시 먹어주세요.예, 실업자입니다.예, 나는 당신의 아버지가 아닙니다.이것은 내 아버지의 범인입니다.나는 지금 범인을 키우고있다.왜 당신의 아버지의 양육권?"
12,"소울 존이 지금 이겼습니다. 저는 Jo -Young 철수입니다.나는 당신이 그것을 들었는지 알고 있다고 들었습니다.나는 많은 확인이있다.내 이름 으로이 테스트를 받았습니다.은행 계좌는 판매 또는 양도되었거나 개인 정보의 이름을 따서 명명 된 피해자가 유출되어 새로운 지 알기 위해 유출되었습니다.4 주 국가 사이트에서 Kim Il -Dan은 저렴한 가격으로 제품을 저렴한 가격으로 판매하는 은행 계좌입니다.그렇습니다.이 희생자들은 커프를 얻지 못하면 그렇게합니다.나중에 배당 명령을 신청하십시오.경찰로 돌아갈 필요가 없었으며 설문 조사를 받기 위해 경찰에 갈 필요가 없었습니다.나는 그날을 설명했다.예, 전화 로이 동의를 설명하겠습니다.원자재를 보내 드리겠습니다. 그래서 내가 어디에 있는지 알고 Wish Director에게 보냅니다.나는 그것을 우리에게 보냅니다.어떻게해야합니까?예, 주소를 동결 할 필요가 없습니다."
13,"서울 대도시 경찰 기관의 사이버 설문 조사 팀입니다.지난 주에 내가 찾는 이유는 우리가 서울 매트의 금융 회사이기 때문입니다.추위이고 당신은 관심이 있습니다.예, 우리는이 압력에서 발견되었습니다.발견되었습니다.은행 계좌입니다.대포 계정입니다.저의 은행 계좌, 저는 은행 계좌, Nongyup National Council, Hana Bank입니다.나는 그렇게한다.나는 앞서 언급했다.교사의 거주 등록 카드가 있습니다.그는 당신을 인도 할 것입니다.아니, 지금 주문하고 있어요., 파견 주문 또는 소환이므로 전화로 보내야합니다.현지 경찰관입니다.사이버 설문 조사 팀입니다.오, 나는 수사관을 담당하고 있습니다.나는 경사입니다.무엇에 관심 있습니까?귀하의 전화 번호는 여러 전화 번호입니다.얼마나 많은 사람들이 있는지 확인해야합니다."
